crab shanty;668625922539569152;#dinner @ The Original Crab Shanty https://t.co/byM6GVtqMC;true;
princess;669637831975899136;Doesn't sound too good. I'll stick with Princess instead ??? https://t.co/FBRsV428Ds;false;
princess;669495303389773824;Maine Mendoza as chef Elize @ Princess in the Palce. @PEP.ph #NowPH ,#ALDUBApproval https://t.co/4bACZIIUD9;false;
princess;667522698902413312;@LittleMxSurly there are other bank vault bars nearby. Probably one with my princess in it.;false;
princess;670240367967657985;Look at this little princess ? https://t.co/QwgVOJuZXE;false;
princess;669370192456261635;She was Pretty like #Disney #princess ??? BEAUTIFUL #christyxty ???  #beautiful #gorgeous #stunning… https://t.co/aXjLlUGFai;true;
princess;669236180907610112;@AndreaTantaros One that can not succeed without me....However just for Princess God sent guardian Angels to watch over you.;false;
princess;668247269486026753;I love you more princess https://t.co/zJGfxskOil;false;
princess;667886077319905280;Franky's first gala @animalleague #getyourrescueon #puppylife #fancy #princess ??? @ The Pierre, A… https://t.co/aZAsMG47a7;true;
princess;669306978590662657;But Princess deserves so much more than Ray J like he's an iron ballon;false;
brod kitchen;667341587123462144;Thanks for inviting me to your launch party @BrodKitchen ? #brodvikingparty https://t.co/2MaASrtH3H;false;
club a steakhouse;669686226761437184;?All I do is win win win no matter what? #stephencurry Warriors are overrated? @ Club A Steakhouse https://t.co/FaIp9kEC3C;true;
club a steakhouse;668260383308779521;Happy birthday, my love?? @ Club A Steakhouse https://t.co/JTjYICHX0s;true;
roots;667773033722060800;@jarsthemule @Slate the US is a result of the enlightenment story. We cannot give up our legal roots that link to the Magna Carta.notSHARIA;false;
roots;669660011182821377;TONIGHT!!! TONIGHT!!! TONIGHT!!! ???????????? ROOTSNYC NOVEMBER 25th 2015 Resident dj Kevin Hedge &… https://t.co/M5ViNEf3xC;true;
roots;667918833429168129;When you say f... ombré roots and refresh. ? @ New York, New York https://t.co/8y9rsZwEAn;true;
roots;669666422512046081;@MayerFertig @theroots @jimmyfallon @Adele: rockin a kazoo takes pro musician skills? Shouldn't a kazoo be at least somethin we can ALL do?!;false;
roots;668120150323802113;trees remember the running two roots loose little trees that killed other of the same. Baffled and sad;false;
roots;668984051374624768;Wait. JACK SWAGGER wants ZEB COLTER to go back to his xenophobic roots and he's the good guy here? What did I miss? #RAW;false;
roots;670266569734377472;and it deff roots from evil;false;
roots;669992794308612096;Y'all really don't know you're roots huh?;false;
roots;669517032086482945;TONIGHT!!! TONIGHT!!! TONIGHT!!! ???????????? ROOTSNYC NOVEMBER 25th 2015 Resident dj Kevin Hedge &… https://t.co/TIdqjz7i2R;true;
roots;668590335786917889;@FallonTonight @ScottStapp @theroots he's in NY right and Scott is doing a NY show so maybe he could pop in;false;
saatchi & saatchi;667583661118586880;Creatives being creative???. @ Saatchi & Saatchi Worldwide https://t.co/9w82hXBlB5;true;
vivid cafe;667386851364327424;This Sunday meet me at Vivid Cafe for the best brunch in NYC!!   Bring the entire family!! Great… https://t.co/tvGQx3Vbih;true;
vivid cafe;668458469050204161;Doors Open !!!! Meet me at Vivid Cafe for the Best Brunch in NYC !!! Drinks, Food, Music, Sports +… https://t.co/regcnLKthU;true;
vivid cafe;668437166914215938;At 11am Doors Open at Vivid Cafe !!! Sunday Brunch is gonna be AMAZING!!! Food, Drinks, Music &… https://t.co/OGJTYXutEQ;true;
vivid cafe;668504997026467840;Come eat with us !! There's still a few tables available !! #VividCafe #SundayBrunch @ VIVID… https://t.co/Agow037twy;true;
vivid cafe;668377767847792641;Later this morning I want you all to meet me at Vivid Cafe for the Best Brunch EVERRRRRR !!!! Food,… https://t.co/WGctkxd1Dc;true;
vivid cafe;668490140478779392;Steak and Eggs #SundayBrunch #VividCafe @ VIVID Caribbean American Bistro https://t.co/y3B1OplUof;true;
vivid cafe;668489749351518208;Lobster Mac and Cheese #SundayBrunch #VividCafe @ VIVID Caribbean American Bistro https://t.co/hY1Jj38dNX;true;
vivid cafe;668490012388888576;Salt fish and Dumplings #VividCafe #SundayBrunch @ VIVID Caribbean American Bistro https://t.co/iz5zzopOsX;true;
vivid cafe;668489431989493760;Shrimp and Grits #SundayBrunch #VividCafe @ VIVID Caribbean American Bistro https://t.co/S8aW7nonhV;true;
reservior;667820017757503490;This is the couple killed in the plane crash in the Titicus Reservior on Thursday. https://t.co/V1bYoybAQy;false;
mimi;669963136271835136;Gobble gobble #Thanksgiving #family #football #food #relaxation (@ Mimi And Papa H in Rexford, NY) https://t.co/e284598Q8e;true;
mimi;669863534105370624;@tojulius @mindmeister this is a 'throw it together/braindump'. MiMi (aw!) an epic workflow anxiety-reliever! https://t.co/qBHrW0OvOx;false;
mimi;667877767275417601;THANKSGIVING DINNER DUMPLINGS. FINAL DAY: NOV 30TH. ? #eeeeeats #turkey  #lovefood @ Mimi Cheng's… https://t.co/osEtuAAUGU;true;
mimi;669872801017438209;Thankful the Lord provided a chair for Mimi to watch CG in the Macy's Thanksgiving parade! https://t.co/d39EioNREL;false;
mimi;667449178751148035;Hearing 100's of #nycschool kids screaming #applause at #MetOpera is like nothing else - #Mimi was the fav #nycschools #artseducation;false;
mimi;669934334837698560;#mariahcarey #mimi #mc #lambilyforever #Lambily #L4l #QueenofMusic #QueenOfRnB #SongbirdSupreme… https://t.co/IFMK4l0q7Z;true;
mimi;668867652517937153;Eating all the Asian food I can possibly consume before Thanksgiving. Come to Mimi Cheng's in the EV… https://t.co/a28kZyM7hJ;true;
mimi;669617378188218374;#mariahcarey #mimi #mc #lambilyforever #Lambily #L4l #QueenofMusic #QueenOfRnB #SongbirdSupreme… https://t.co/zBVksb82dH;true;
mimi;668513411244941313;With #model @audreylovedead mimi photoshoot #Photography #LAmodel #Gunplay #assassin #Photoshoot… https://t.co/zX2EyWSnp1;true;
mimi;669616652166778881;#mariahcarey #mimi #mc #lambilyforever #Lambily #L4l #QueenofMusic #QueenOfRnB #SongbirdSupreme… https://t.co/oFMOtFMrcI;true;
legion;670021926258155520;Conyers Gang!! @ American Legion https://t.co/1osecmZSEx;true;
legion;669931672209506305;In the spirit of the holiday…#townwidefundofhuntington #turkeytrot @ American Legion Huntington https://t.co/BZ0io3ShT0;true;
legion;670148698836484096;@georgedragonite join my guild we're trying to be mythic hellfire before legion rolls around;false;
legion;669379041422626816;This is happening every day... everywhere... the world is waking up... #mmm2016 #expectUS #wedonotforgive #Legion https://t.co/7bdq6Qx2UH;false;
legion;669900129122574336;Some of my favorites. #turkeytrot #friends #family #celebrate #health @ American Legion Huntington https://t.co/EHyrbPIwKl;true;
legion;668164191585333248;The sunshine makes me smile ? @ American Legion Post 1456 https://t.co/XXKzanH0kz;true;
legion;669591190094921728;@CBSNews @Rosie @realDonaldTrump bill mackinions building 5 coins run by Massachusetts Nazis from the legion #theamericanlegion;false;
legion;669936634947735552;Just posted a photo @ Brentwood Legion Ambulance Service, Inc. https://t.co/eVO1vXp2DG;true;
legion;667484925571022848;Jones beach power squadron dinner. #ShouldBeFun (@ American Legion Post 1132 in Seaford, NY) https://t.co/6C7sKTh9vC;true;
legion;669336424924233728;@magicbeans @stephaniedrury He is legion this time of year;false;
roberto's;668120819021778944;Clasico Video: Barcelona's Luis Suarez Finishes from Sergi Roberto's Pass for 1-0 Lead vs. Real Madrid in 11' https://t.co/uVkY9CIcYQ;false;
chickpea;668869052819902464;Pizza is everything | broccoli / chickpea crust, parsley pesto, roasted delicata squash, pan fried… https://t.co/1l0WxDznQY;true;
chickpea;668866939268108288;Pizza is everything | broccoli / chickpea crust, parsley pesto, roasted delicata squash, pan fried… https://t.co/SJVpPNkrY1;true;
chickpea;669236741820325888;(RECIPE) We're sharing these #delish Sweet Potato + Chickpea Harvest Wraps on the mag! https://t.co/0StT0hjOFz https://t.co/yUZfCWPrDb;false;
chickpea;667334097904250880;A gluten sniffing device, chickpea low carb pasta, a pan that teaches you to cook. Loved this article.   https://t.co/M3Kcy4ZmJt;false;
chickpea;669276405964939264;Up for some chickpea fries @TripleBT ?  https://t.co/t8UGQ9Bg8G;false;
astor center;667451013608153088;Charcuterie anyone? #astorcenter #wineandfoodpairig #salami #prosciutto #cornichon #marconaalmonds… https://t.co/WROIXE97sI;true;
astor center;669221564810940416;Apple pie, enough said #astorcenter #pre-thanksgiving #family #pie #food52 #eeeeeats @ Astor Center https://t.co/Xs2GbYQDik;true;
kikoo sushi;668562249045434368;I'm at @KikooSushi in New York, NY https://t.co/cW6Q2zVxwT;true;
kikoo sushi;668216009103380480;@KikooSushi it was! Definitely the spicy tuna ?;false;
kikoo sushi;669188921096585216;@KikooSushi maybe I will next time I'm in the city!;false;
alma;669670139298713600;?????#newyork @ Havana Alma de Cuba https://t.co/wvnGlDjB5o;true;
alma;670025864151740417;#viverenewyork2016 #calendario da creare #assieme ?? qui le info: https://t.co/DOKz8VApIK #foto di Alma Negra https://t.co/uozrtE3lqa;false;
alma;668424729452224512;So...students from my alma mater @UCBerkeley set up a "White Student Union" to support their European-American "brothers" and "sisters"....;false;
alma;669514222343204864;QEPD don Jaime Cardona fundador y alma de @LA14SA gran pérdida para el Valle del Cauca;true;
alma;667878134667206656;Hoy me siento Cubana ???? @ Havana Alma de Cuba https://t.co/LLFwkdX6LR;true;
alma;667521176776908800;hay un tarro de medio kilo de Nutella en la cocina y no saben lo que cuesta no ir a buscarlo y bajarlo a cucharadas alma de obesa everywhere;false;
alma;668810818205655040;Te amo con el alma @DaniAlvesD2 , no se puede amar de otra manera https://t.co/OVZmsplTGr;false;
alma;668247586562772993;Como estos le robaron la vida y el alma a estos so?adores de sueños https://t.co/V2eolxLh2B;false;
alma;668162951656972290;Congratulations @RFootball well played;false;
alma;669607040499716097;@Anti_Intellect I can't speak to Georgia State, having not been an alum. I can speak to my own alma mater.;false;
kaffe 1668;667451223797313536;Pour over & a meeting. (@ Kaffe 1668 in New York, NY) https://t.co/TQ3Qk2B6rE;true;
lone wolf;668166906512322562;@spiceee mas confesso que sou lone wolf aqui em NY. Obviamente tenho conhecidos aqui e ali, mas nao estimulo nada nao.;false;
lone wolf;668462497956016128;Muslim shooter=entire religion guilty  Black shooter=entire race guilty  White shooter= mentally troubled  lone wolf  #facts;false;
lone wolf;669889688233230336;I'm a lone wolf like I literally lost my friends the second we got to the bar;false;
lone wolf;668540160842334208;Come on down! (@ Lone Wolf in Brooklyn, NY) https://t.co/Q8ONMex3yV;true;
lone wolf;669320932981211136;@longgoneblond The one bad cop myth is like the lone wolf lie.Folks who repeat these lies don't want accountability or to change the system.;false;
lone wolf;668169061029801984;@JCPinCompton another potential lone wolf self radicalizing comedian masquerading as a late night show host...no! @nypost;false;
lone wolf;668961117432082432;Ray Lewis is the lone wolf in picking the Bills lol @richeisen;false;
lone wolf;667754679254781952;On @SXMInsight w/ @JohnFugelsang today from 2:30-3. Have questions about The Mystery of the Lone Wolf Killer? Call us at 877-974-7487.;false;
rumours;668254043526008832;"Louis Tomlinson shoots down rumours of Briana Jungwirth reunion insisting he's SINGLE"  https://t.co/nDMcb2QQFu;false;
rumours;668147888061587457;@Tha5SOSFamily Michael braided the corners of his hair, rumours not confirmed #MTVStars 5 Seconds of Summer https://t.co/2PxAwGJeqM;false;
van leeuwen artisan ice cream;669133402268913664;Up @ Van Leeuwen Artisan Ice Cream https://t.co/OUZALgtdm4;true;
van leeuwen artisan ice cream;667542913400897536;BEST Ice creaaaaam! W/ https://t.co/0M7kGwxLTQ ???? @ Van Leeuwen Artisan Ice Cream https://t.co/r7PvaSkcmG;true;
van leeuwen artisan ice cream;668257546168352773;I told you...  "I'm on a diet" @ Van Leeuwen Artisan Ice Cream https://t.co/NB0awdLEuf;true;
van leeuwen artisan ice cream;669884263274307584;Yummmmmo!  ALL NYC stores open till 3pm today ???? @ Van Leeuwen Artisan Ice Cream https://t.co/hIy4FsDLOn;true;
morton's the steakhouse;667520186694705152;Tonight's ? @ Morton's The Steakhouse https://t.co/Z98u26mAkM;true;
