diablo royale;667430253858594819;kitchen fulla nachos // future you fulla nachos?? @ Diablo Royale https://t.co/NOA2yzFx9A;true;
hyatt herald square;670005189961641985;Lebron 12 Indepence Day 7.5-9-9.5-10-10.5 Precio por Whatsapp en Alta @ HYATT Herald Square New York https://t.co/8s2P3YVvuZ;true;
hyatt herald square;670014804812169216;KD Trey 5 La Parrilla del 8 al 12 Precio por Whatsapp en Alta @ HYATT Herald Square New York https://t.co/MXz00CnHHH;true;
the islands;669698474020118528;Summer equals me getting drunk on the islands w/ @BayCayy & @HossBoss147;false;
john's pizza;670127446247669760;@daryldunn1 @jdharm @bronk @jonhein john's pizza on bleker in the village & also john's pizza n the theater - only pies but some of the best;false;
villa;668439336388440064;1989-2010 Aston Villa Home Programmes *Pick Opponents* https://t.co/HnC22IVRmE;true;
villa;669690880765337600;Dr. Mike will b just as pivotal as Dr. Crawford regarding a potential relationship btwn Rosewood & Villa #Rosewood @JainaLeeOrtiz;false;
villa;667813286314799105;I'm at Villa Barone Ristorante in Bronx, NY https://t.co/bO3JDw03uU;true;
villa;669487084017594369;Manchester United V Aston Villa March 29, 1978 token intact https://t.co/g0tzJhd9MQ https://t.co/wmqpoPQWco;true;
villa;667930032229232640;Simple but Classy.... @ Villa Barone Manor https://t.co/yFyt5kDtpP;true;
villa;668207083096039424;@thebluehoodie villa Blanca?;false;
villa;668556562395435008;La villa https://t.co/lGXQ5qVdmD;false;
villa;667530800716521473;it's lit @ La Villa https://t.co/vkR8yuLTlx;true;
villa;667795454961299456;Creepy @ Litchfield Villa https://t.co/NF4u4zF9Zn;true;
villa;668940594597654528;"..had defeated the peasant armies of Pancho Villa and Emiliano Zapata.. https://t.co/GyAnl3ZcLj;false;
panda express ;668061097543495680;Lol what   #pandaexpress finally opening up in the city?? #uppereastside #nyc #newyorkcity #psa… https://t.co/UWx1q3sR8t;true;
the skinny;667462962165215232;Friday November 27, 2015  Black Friday Party  The Skinny Bar @theskinnybar  Music by  DJ Kris… https://t.co/uH3F90VLvd;true;
the skinny;667313677851213824;Friday November 27, 2015  Black Friday Party  The Skinny Bar @theskinnybar  Music by  DJ Kris… https://t.co/NIHRkpPjdH;true;
the skinny;669640894476226561;$6 all #drafts and well #drinks #ALLNiGHT! #HappyThanksgiving Eve! ?  #Cheers ? @ The SKINnY Bar and… https://t.co/pEdSbn5OE6;true;
the skinny;668871935980412929;@lynnlunaxoxo @amourkarennn I'm just going to shoutout all the skinny niggas on Twitter ?? they know we do it best ?? (gas gas only a few);false;
the skinny;668580491608633346;Damn I miss being the skinny gorgeous one  https://t.co/wa8wPYfv9o;false;
the skinny;667839144803098624;@ChristiChat THE SKINNY IS HARRY REID IS SUSCEPTIBLE TO "LEFT" ROUNDHOUSES!!!FINISH HIM BY STOMPIN' A MUDHOLE IN HIS ASS!!!!;false;
donut pub;668087334102032384;I'm at The @DonutPub in New York, NY https://t.co/q8i77IBDhH;true;
manhattanville coffee;668465017998737408;#glassdoor series @ Manhattanville Coffee https://t.co/rRdaG42Kpe;true;
manhattanville coffee;668099118129115138;Coffee in the morning. (@ Manhattanville Coffee in New York, NY) https://t.co/ukehNEwgxw;true;
manhattanville coffee;668809444206239745;Too cold to run. Better chill in a cafe writing then. @ Manhattanville Coffee https://t.co/EdKlY5ODQS;true;
pax;668884987203231744;tech deck'd a pax this weekend;false;
pax;668004068133117952;All I want for Christmas is a Pax vape pen ?;false;
pax;667400837816299520;Bloody hell. Same situation as last year. Only Friday and Sunday PAX East badges availible. Welp, time to scrounge around for Saturday;false;
pax;670038141391212544;Full moon pax for sure on that flight... I'm thankful to be off the plane, at @MollysMilesFA apt, with a glass of wine in hand.;false;
pax;668805572561666048;You can always tell when there's a late pax for a flt by the tone the gate agents use when annoucing final boarding. #crewlife;false;
pax;669937630340083712;Finally breakfast (@ PAX Wholesome Foods - @paxfood in New York, NY) https://t.co/chQX34KV9d;true;
pax;669925824494219266;Lunch!!!! (@ Pax Wholesome Foods - @paxfood in New York, NY) https://t.co/ZVM22W0Atx;true;
pax;668868187069530112;The pre-Thanksgiving diet starts (and ends) today @ Pax Wholesome Foods https://t.co/FeD8sNdUeP;true;
pax;667452061601124352;@Churba @Apreche Should we bring a bunch of CPUs and mobos with us to PAX Aus next year? ;false;
pax;669256353685327873;@Official_PAX I know you're waiting for PAX East, but @loltsundere: this is what it looks like to apply to Join the Ranks. ;false;
club miami;667939956275318784;Yea boiiiiiii @ Club Miami https://t.co/gsJssfYuK3;true;
club miami;670109928867106816;Mackin wit da homie @nahbitchswerve #fleek #shit @ Club Miami https://t.co/oGmk6SIlaX;true;
coco;669370439790141440;I'm so happy I got to see my coco pumpkin muffin @MarissaContelmo tonight ?;false;
coco;668513395549847557;court and coco take brunch ?? @ Parlay Rockville Centre https://t.co/SE9v9TNZjR;true;
coco;668598899024744449;No coco bread slander allowed EVER https://t.co/m4YJeTUN1m;false;
coco;668469806543208452;One of the best days of my life. Nothing monumental happened, just got to have Chilli CoCo by my side… https://t.co/2Z3qCr22Cc;true;
coco;667813797403324416;@GinaGannon Jack and I wish you Mia and Coco and very happy Friday and a wonderful weekend ?????? sue ny https://t.co/rAO2zP8ilz;false;
coco;669394671127437312;#CoCo https://t.co/Hxk8K5oqeW;false;
coco;667808323446571008;@sudorossy Love snow. Especially good to look out the window on a snowy day with a cup of hot coco (I know I sound like an old man);false;
coco;668258363281711104;@JudgeJeanine sorry Judge when I saw that blimp Coco had to switch to NYR game...she's a blown-up Hillary..makes me physically ill..Tums pls;false;
coco;667534309843181569;???? "If you're sad, add MORE LIPSTICK AND ATTACK" ~ Coco Chanel #holidaywindows #surreal… https://t.co/MEnDhIbEC1;true;
coco;668472154724302848;Whilst getting dressed last night, I decided to let Chilli CoCo choose my outfit. I think she wants… https://t.co/nLWBR8UX3S;true;
evelyn;669605272176955392;This is my (routine) appointment -- not Amy's (@ Evelyn H. Lauder Breast Center in New York, NY) https://t.co/DVWQeTZ2jB;true;
evelyn;668303310315634688;#thingswefindonthefloor @ Evelyn https://t.co/IfTMqSiRDM;true;
evelyn;668119350126202880;Ecce Homo by Evelyn Bencicova https://t.co/9keAIXRsGD from @ignantmag #photography https://t.co/hf4idBICTN;false;
evelyn;670292223100116992;I love when @Ericuhh_xo sends me videos of Evelyn ??;false;
evelyn;667717414545727488;Today in #Herstory: In 1916 Evelyn Keyes born. She is best known for her role as Suellen O'Hara in the 1939 film Gone with the Wind.;false;
wichcraft;667816389126721536;Okay I just need to move to New York. Even the shops have adorable puny names. I can't handle it #wichcraft #puns https://t.co/JpAuX3Dhgv;false;
the living room;669331868010086401;My dad literally just texted me to come to the living room to pass him the remote;false;
the living room;668282673425575945;Great sounds from @thestraybirds tonight at the Living Room! @ The Living Room https://t.co/UlKYlqH3ZS;true;
the living room;669602122753843200;Jeremy doesnt know I'm in the living room and he's singing Adele in the kitchen;false;
the living room;668892143017205761;@marc_almond The living room goes quiet on Monday nights when they watch. Kinda scary, TBH.;false;
the living room;670081847490158592;Forever passing out on the living room floor in food comas;false;
the living room;667941411187200000;Regret deciding to sleep in the living room bc there's a fucking rat in this house!;false;
the living room;667816746577821696;if I had a TV in my room I would never watch TV in the living room what is this woman doing omfg;false;
the living room;668449441247023105;just woke up and now am going into the living room to sprawl on the couch and watch Netflix. #tgive2015;false;
the living room;669938509290016768;Thanksgiving is eating in the living room because football is on, I love it;false;
the living room;668160342514618368;Oops wrong W (@ The Living Room At W Hotel in New York, NY) https://t.co/0WqcSd7zJy;true;
otto's shrunken head;668177486870548480;Dried blowfish tiki lamp = amazing #nationaltreasure #tikibar #drinking52 @ Otto's Shrunken Head https://t.co/Qob7thV0BF;true;
otto's shrunken head;667855807887892480;Matt Langone and Danny Ray --- Gotham Rockets @ Otto's Shrunken Head https://t.co/9xIsRKKtGl;true;
otto's shrunken head;669291877145911296;TIKI @ Otto's Shrunken Head https://t.co/VSeS3SZsE1;true;
seis vecinos restaurant;670144745314889728;Tres Leches Cake at Seis Vecinos Restaurant #foodie #foodporn #bronx #restaurant #cake @ Seis Vecinos… https://t.co/QzByqZV2jx;true;
seis vecinos restaurant;670140676286361600;Sangria at Seis Vecinos in the Bronx #foodporn #restaurant #foodie @ Seis Vecinos Restaurant https://t.co/l5qM6k3o59;true;
amber steak house;669704800087314432;No Beef No Life #nobeefnolife #nymunchclub @ Amber Steak House https://t.co/xEqubHmxjk;true;
the one;670033100861149184;Im probably the one person who still hasnt eaten dinner https://t.co/yHqNZz2X1T;false;
the one;667443714755837953;tfw the one person u wanna text to make you feel better is the one person u can't ?;false;
the one;668454966655385600;I'm not the one to catch feelings for.;false;
the one;667309727982850048;Ironic you been sleeping on the one you dreaming about;false;
the one;668640138730315776;@Shareek_Nyy @Fabio227 i dont know man, that trash can on the left has way nicer tits than the one on the right;false;
the one;668892250349445120;Hunger games, the one in theaters, was good AF!!;false;
the one;669949530981318658;Thankful and grateful for family- the one we're born into and the one we choose ??  #thanksgiving… https://t.co/sfKLvEN2oD;true;
the one;670283130381721601;OMG the one tree hill thanksgiving episode??;false;
the one;669978494105952257;@_Nadeann I was serious with the tweet. All I said was who is Jodi and the one named Rebecca?;false;
the one;669922743236739072;Gobble gobble, that's right it's Thanksgiving again. And today's the one day a year you're supposed… https://t.co/KGr0ga5OgW;true;
sant ambroeus;668276223655714816;Portrait by Annie Leibovitz @ Sant Ambroeus SoHo https://t.co/fuIPik81yT;true;
sant ambroeus;667802882784305157;They say the cave is waiting: #timewarp #timewarp2015 #nyc @ Sant Ambroeus West Village https://t.co/aAi5SaZebG;true;
sant ambroeus;667449315254738944;We are going to Mars together. #OMGaggia @eglantinazingg @dg_photographer @ Sant Ambroeus SoHo https://t.co/AeCfYGexD2;true;
67 burger;667887729867251712;Oaxaca burger on a #glutenfree bun. #amnyeats #avocadoslices @ 67 Burger https://t.co/ZHoinWytR3;true;
crust;668602222469484544;Life's a beach ? #glutenfree crust available for any of pizzabeach pies - #glutenfree #glutenfreegrub… https://t.co/Jxtci54Kbf;true;
crust;668131772220182528;If you could only smell this. Fresh baked Graham crust cooling, to be filled with our fresh squeezed… https://t.co/JNbMePok8J;true;
crust;667582064946974720;@audrey1nd it's not even in the oven ://// the crust is pre-baking. I had a work thing and now I regret everything;false;
crust;669645780651745280;@msgwenl We are making pie crust RIGHT NOW and I've never felt more love oh wait that's frustration nvm;false;
crust;668220216057425920;If u ask someone for a piece of their poptart and they don't give you the crust that's how u know they like u;false;
crust;669585434272493568;Some day I will figure out why the crust goes in symmetrical and comes out lopsided. I don't think it's the oven. https://t.co/rz4wGddSVy;false;
crust;667925968170958848;Thin crust pizza is feminist shit;false;
crust;669232519024410624;Not really. If that's the case thick crust pizza always frozen. It's just Neapolitan style vs Roman style. https://t.co/RVCUKmIEeX;false;
crust;669995695424802816;Candied Yams ice cream pie with homemade marshmallows, maple-candied pecans & snickerdoodle crust ? #vegan #3lbnyc https://t.co/PSSPxNn2tp;false;
crust;669213912554844160;Try https://t.co/htTb5z6nsV .55 Large Pizza with New Crust #Pizza #menu;true;
shorty's;668492716926484480;If we lose today I'm boycotting @ Shorty's NYC https://t.co/G7FO70V1VR;true;
shorty's;667840780640387074;Puerto Rican shorty's wear dark lip liner w tattooed eyebrows;false;
shorty's;669595884930342916;Drinking a Winter White Ale by @BellsBrewery @ Shorty's — https://t.co/UoqljNATVj;true;
shuko;667807464591519744;Solid delivery day @shuko_nyc @ Shuko https://t.co/NV8FZTvT2Z;true;
saigon vietnamese sandwich;669975060447371266;Best #bahnmi in #NYC (@ Saigon Vietnamese Sandwich Deli in New York, NY) https://t.co/pkUVAXePkl;true;
catch;668410360681074688;Can't catch a break ??;false;
catch;667899590444761088;@Diddgery it probably is, I didn’t catch the name but I don’t think it’s chicken;false;
catch;668634034604548096;you'd think people would catch on by now, but they don't. so keep on going your path far exceeds theirs;false;
catch;668505093944291328;All I know is when that abc's 25 days of Christmas marathon comes on you won't catch me out of my house for shit;false;
catch;668998729635098626;Good looks to the close friends that didn't even wish me a happy birthday, catch ya next time around I guess;false;
catch;668625967271641089;@PrettyMill1 Catch me Tomorrow Monday 11/23/15 *8am - ON MR G's MORNING SHOW #Fire91 https://t.co/kgshQ0rtXr … … Soul Mix by #djmrswotch;false;
catch;668527113620819969;I see and catch everything lol;false;
catch;668454966655385600;I'm not the one to catch feelings for.;false;
catch;667722471085314048;Idk why my boobs grew ? I'm not tryna catch my mom;false;
catch;667869326331019264;#Pacha is gonna be a MOVIE tonight, catch my bro @BailoBeatz on main stage!;false;
the avenue;667958693082853376;Late Night Shenanigans: On The Avenue #upperwestside #westendavenue #williamsworld #irvingberlin… https://t.co/iS0gIOuPN4;true;
the avenue;668101973615382528;Just posted a photo @ The Avenue Restaurant & Bar https://t.co/xv5mnzVoqy;true;
the avenue;669538237883486208;Playing at the Avenue today 6:30pm!;false;
the avenue;668102217925132288;Just posted a photo @ The Avenue Restaurant & Bar https://t.co/KnsgeNDsTQ;true;
con sabor;669732411564007425;Miércoles con sabor a viernes!!! #Thanksgiving ?????;false;
