"diablo royale",6.67430253858595E+17,"kitchen fulla nachos // future you fulla nachos?? @ Diablo Royale https://t.co/NOA2yzFx9A",TRUE,0
bizarre,6.68661404036125E+17,"Cue bizarre apocalypse dreams ...... ?",FALSE,0
bizarre,6.67350342519161E+17,"I'm at Bizarre - @intervenue in Brooklyn NY NY https://t.co/jlaOE1CIm5",TRUE,1
"doughnut plant",6.68546511635161E+17,"??? #doughnut #coffee @ Doughnut Plant https://t.co/tHhgqePDCv",TRUE,1
"doughnut plant",6.69621261404893E+17,"Kicking off the long weekend on a high note ? #doughnutplant @ Doughnut Plant Queens https://t.co/LbFedqrBeM",TRUE,1
"doughnut plant",6.68546860982735E+17,"I'm at @DoughnutPlantNy in New York NY https://t.co/NLyiPHPHnA",TRUE,1
"doughnut plant",6.67378602292462E+17,"GIVE ME ALL DONUTS @DoughnutPlantNY @peterpandonuts @doughbrooklyn",FALSE,1
"doughnut plant",6.68871482739589E+17,"Got to love @postmates making deliveries for @doughnutplantny . Tried their new Pumpkin Doughnut w/… https://t.co/7bQaQwlofM",TRUE,1
"doughnut plant",6.68080081668035E+17,"I'm at @DoughnutPlantNy in Brooklyn NY w/ @midtowncoffee https://t.co/HCNDiXtjtA",TRUE,1
"doughnut plant",6.68087714856571E+17,"@doughnutplantny #blackout doughnut is pure genius. Is there a better way to start the weekend? Hint:… https://t.co/b9MkOTsQXv",TRUE,1
"doughnut plant",6.68500751682019E+17,"I'm at @DoughnutPlantNy in New York NY w/ @hahanella https://t.co/Gy5rC6g3l4",TRUE,1
"doughnut plant",6.67458197976965E+17,"#donutplanet #coconutcreamdonut #sogood @ Doughnut Plant https://t.co/cxH7c6uVu7",TRUE,1
"doughnut plant",6.68457775660474E+17,"I'm at @DoughnutPlantNy in Brooklyn NY w/ @50shadesofjrd https://t.co/Lyofqjet2U",TRUE,1
monarch,6.6990232833459E+17,"The view from the @monarchlounge is great @ Monarch https://t.co/Igp8utIV1h",TRUE,1
monarch,6.67984672673038E+17,"Net worth #details #mesh #femmela #krma #ootd #monarch #hotel #midtown #deets #nyc #manhattan… https://t.co/ZhGkt6suOT",TRUE,1
monarch,6.6993345603031E+17,"Cool bathroom sign @monarchlounge @ Monarch https://t.co/fNnODWF7bB",TRUE,1
monarch,6.68625363732419E+17,"I'm at Monarch Rooftop Lounge in New York NY https://t.co/UmTjtbVkWB",TRUE,1
monarch,6.68335481332085E+17,"Happy Birthday to @jmike_the_joker !!! @ Monarch https://t.co/BuwzN6vH5i",TRUE,1
monarch,6.69908691647341E+17,"The @macys #thanksgivingdayparade @monarchlounge is coming DOWN Sixth Ave in #nyc @ Monarch https://t.co/X9cO7i4bZo",TRUE,1
monarch,6.6991477004947E+17,"#pillsburydoughboy is coming! @macys #thanksgivingdayparade @monarchlounge @ Monarch https://t.co/VUkckJwCrC",TRUE,1
monarch,6.69901853153432E+17,"The view from the @monarchlounge is great @ Monarch https://t.co/XleL8uuei4",TRUE,1
monarch,6.6813633831152E+17,"#czardom ! Wonderful event czardomczars ! @ Monarch https://t.co/zFsK4yitNN",TRUE,1
monarch,6.67970417806692E+17,"Lit (@ Monarch Rooftop Lounge in New York NY) https://t.co/ps6S2Qhjv3",TRUE,1
phebes,6.69690899081748E+17,"Happy Thanksgiving to all of our Phebes friends! We will be closed tomorrow getting our tryptophan on… https://t.co/LWX9Tgo1KB",TRUE,0
phebes,6.69729874697933E+17,"I'm at @PhebesNyc in New York NY w/ @cevikberk https://t.co/gio0j8BRWk",TRUE,1
phebes,6.68239341525869E+17,"@PhebesNYC Best decision for game day AND dance parties #whodey #deejayonfleek",FALSE,1
phebes,6.67415721442419E+17,"Love these guys forever. #TBT @ Phebes Tavern https://t.co/7vqM8DmVd8",TRUE,1
phebes,6.68575124690457E+17,"everything in its right place @ Phebes Tavern https://t.co/iHzn6hwqQ7",TRUE,1
juliette,6.67534007891046E+17,"I finally got Juliette to feel the same way I do about foreign affairs...i never been so proud?",FALSE,0
juliette,6.68580557652128E+17,"So now I'm watching Greys... I guess you can say that Juliette can get me to do anything ?? @itsjulietteee",FALSE,0
juliette,6.67944518981931E+17,"@jluisbt creo que te va a gustar sale Juliette Binoche! ??",FALSE,0
juliette,6.67932921534247E+17,"Bored waiting for food selfie #williamsburg #fridaynight #selfies #takeaway @ Juliette Restaurant https://t.co/qvT7OzIIw5",TRUE,1
bago,6.69521348201435E+17,"Baka may bago na namang TV Commercial.  #ALDUBApproval Gumagaling ang acting chemistry ng magnobyo https://t.co/swRJPE9oDA",FALSE,0
bago,6.68447922825097E+17,"@mainedcm namalikmata lang ba ko sa bago mong tweet pero wala? Hahaha ang tataa buti nakabisado ko agad woooooo poll u ba ulit?",FALSE,0
bago,6.68307308364042E+17,"@itsmarxyz_13 uu super saya nya hahah baka may kausap lol bago mag dj bae! yung ngiti pati mata luhluhluh #SPSKrismaSaya",FALSE,0
bago,6.69459739093443E+17,"Assert your self. Learn to say no #ALDUBApproval Explain maayos bakit NO wag kalimutan ang 'TY for that wonderful question bago magexplain",FALSE,0
bago,6.695427224627E+17,"@Legian_dary kung hindi ko lang knaasikaso school ko bro uuwi talaga ako. Kaso future muna bago love. ?",FALSE,0
bago,6.67937962533884E+17,"Screenshot ko muna yun bago ako magresponse ?",FALSE,0
bago,6.68204643504267E+17,"Wala sa haba o ikli ng panahon kapag natagpuan nyo na si 'I New Year the One' yun na yun. Simulan nyo na bago pa maraming kumontra sa inyo.",FALSE,0
bago,6.67517007097635E+17,"@IamAvery_Lynn lol bago yun! natawa naman me sayo! #ALDUBFixedMarriage",FALSE,0
bago,6.69552939338461E+17,"@buernrodriguez may bago na ba akong i-shiship aside from bebeko? ??",FALSE,0
bago,6.69727394811482E+17,"Dear Irog Bago ang lahat ikaw lang ang luma. Sumulat ako sa iyo dahil may ballpen at papel.  #ALDUB19thWeeksary",FALSE,0
"hyatt herald square",6.70005189961642E+17,"Lebron 12 Indepence Day 7.5-9-9.5-10-10.5 Precio por Whatsapp en Alta @ HYATT Herald Square New York https://t.co/8s2P3YVvuZ",TRUE,1
"hyatt herald square",6.70014804812169E+17,"KD Trey 5 La Parrilla del 8 al 12 Precio por Whatsapp en Alta @ HYATT Herald Square New York https://t.co/MXz00CnHHH",TRUE,1
"the islands",6.69698474020119E+17,"Summer equals me getting drunk on the islands w/ @BayCayy & @HossBoss147",FALSE,0
"john's pizza",6.7012744624767E+17,"@daryldunn1 @jdharm @bronk @jonhein john's pizza on bleker in the village & also john's pizza n the theater - only pies but some of the best",FALSE,0
villa,6.6843933638844E+17,"1989-2010 Aston Villa Home Programmes *Pick Opponents* https://t.co/HnC22IVRmE",TRUE,0
villa,6.69690880765338E+17,"Dr. Mike will b just as pivotal as Dr. Crawford regarding a potential relationship btwn Rosewood & Villa #Rosewood @JainaLeeOrtiz",FALSE,0
villa,6.67813286314799E+17,"I'm at Villa Barone Ristorante in Bronx NY https://t.co/bO3JDw03uU",TRUE,1
villa,6.69487084017594E+17,"Manchester United V Aston Villa March 29 1978 token intact https://t.co/g0tzJhd9MQ https://t.co/wmqpoPQWco",TRUE,0
villa,6.67930032229233E+17,"Simple but Classy.... @ Villa Barone Manor https://t.co/yFyt5kDtpP",TRUE,1
villa,6.68207083096039E+17,"@thebluehoodie villa Blanca?",FALSE,0
villa,6.68556562395435E+17,"La villa https://t.co/lGXQ5qVdmD",FALSE,0
villa,6.67530800716521E+17,"it's lit @ La Villa https://t.co/vkR8yuLTlx",TRUE,1
villa,6.67795454961299E+17,"Creepy @ Litchfield Villa https://t.co/NF4u4zF9Zn",TRUE,1
villa,6.68940594597655E+17,"..had defeated the peasant armies of Pancho Villa and Emiliano Zapata.. https://t.co/GyAnl3ZcLj",FALSE,0
"panda express",6.68061097543496E+17,"Lol what   #pandaexpress finally opening up in the city?? #uppereastside #nyc #newyorkcity #psa… https://t.co/UWx1q3sR8t",TRUE,0
"the skinny",6.67462962165215E+17,"Friday November 27 2015  Black Friday Party  The Skinny Bar @theskinnybar  Music by  DJ Kris… https://t.co/uH3F90VLvd",TRUE,0
"the skinny",6.67313677851214E+17,"Friday November 27 2015  Black Friday Party  The Skinny Bar @theskinnybar  Music by  DJ Kris… https://t.co/NIHRkpPjdH",TRUE,0
"the skinny",6.69640894476227E+17,"$6 all #drafts and well #drinks #ALLNiGHT! #HappyThanksgiving Eve! ?  #Cheers ? @ The SKINnY Bar and… https://t.co/pEdSbn5OE6",TRUE,0
"the skinny",6.68871935980413E+17,"@lynnlunaxoxo @amourkarennn I'm just going to shoutout all the skinny niggas on Twitter ?? they know we do it best ?? (gas gas only a few)",FALSE,0
"the skinny",6.68580491608633E+17,"Damn I miss being the skinny gorgeous one  https://t.co/wa8wPYfv9o",FALSE,0
"the skinny",6.67839144803099E+17,"@ChristiChat THE SKINNY IS HARRY REID IS SUSCEPTIBLE TO ""LEFT"" ROUNDHOUSES!!!FINISH HIM BY STOMPIN' A MUDHOLE IN HIS ASS!!!!",FALSE,0
"donut pub",6.68087334102032E+17,"I'm at The @DonutPub in New York NY https://t.co/q8i77IBDhH",TRUE,1
"manhattanville coffee",6.68465017998737E+17,"#glassdoor series @ Manhattanville Coffee https://t.co/rRdaG42Kpe",TRUE,1
"manhattanville coffee",6.68099118129115E+17,"Coffee in the morning. (@ Manhattanville Coffee in New York NY) https://t.co/ukehNEwgxw",TRUE,1
"manhattanville coffee",6.6880944420624E+17,"Too cold to run. Better chill in a cafe writing then. @ Manhattanville Coffee https://t.co/EdKlY5ODQS",TRUE,1
pax,6.68884987203232E+17,"tech deck'd a pax this weekend",FALSE,0
pax,6.68004068133118E+17,"All I want for Christmas is a Pax vape pen ?",FALSE,0
pax,6.674008378163E+17,"Bloody hell. Same situation as last year. Only Friday and Sunday PAX East badges availible. Welp time to scrounge around for Saturday",FALSE,0
pax,6.70038141391213E+17,"Full moon pax for sure on that flight... I'm thankful to be off the plane at @MollysMilesFA apt with a glass of wine in hand.",FALSE,0
pax,6.68805572561666E+17,"You can always tell when there's a late pax for a flt by the tone the gate agents use when annoucing final boarding. #crewlife",FALSE,0
pax,6.69937630340084E+17,"Finally breakfast (@ PAX Wholesome Foods - @paxfood in New York NY) https://t.co/chQX34KV9d",TRUE,1
pax,6.69925824494219E+17,"Lunch!!!! (@ Pax Wholesome Foods - @paxfood in New York NY) https://t.co/ZVM22W0Atx",TRUE,1
pax,6.6886818706953E+17,"The pre-Thanksgiving diet starts (and ends) today @ Pax Wholesome Foods https://t.co/FeD8sNdUeP",TRUE,1
pax,6.67452061601124E+17,"@Churba @Apreche Should we bring a bunch of CPUs and mobos with us to PAX Aus next year?",FALSE,0
pax,6.69256353685328E+17,"@Official_PAX I know you're waiting for PAX East but @loltsundere: this is what it looks like to apply to Join the Ranks.",FALSE,0
"club miami",6.67939956275319E+17,"Yea boiiiiiii @ Club Miami https://t.co/gsJssfYuK3",TRUE,1
"club miami",6.70109928867107E+17,"Mackin wit da homie @nahbitchswerve #fleek #shit @ Club Miami https://t.co/oGmk6SIlaX",TRUE,1
coco,6.69370439790141E+17,"I'm so happy I got to see my coco pumpkin muffin @MarissaContelmo tonight ?",FALSE,0
coco,6.68513395549848E+17,"court and coco take brunch ?? @ Parlay Rockville Centre https://t.co/SE9v9TNZjR",TRUE,1
coco,6.68598899024744E+17,"No coco bread slander allowed EVER https://t.co/m4YJeTUN1m",FALSE,0
coco,6.68469806543208E+17,"One of the best days of my life. Nothing monumental happened just got to have Chilli CoCo by my side… https://t.co/2Z3qCr22Cc",TRUE,0
coco,6.67813797403324E+17,"@GinaGannon Jack and I wish you Mia and Coco and very happy Friday and a wonderful weekend ?????? sue ny https://t.co/rAO2zP8ilz",FALSE,0
coco,6.69394671127437E+17,"#CoCo https://t.co/Hxk8K5oqeW",FALSE,0
coco,6.67808323446571E+17,"@sudorossy Love snow. Especially good to look out the window on a snowy day with a cup of hot coco (I know I sound like an old man)",FALSE,0
coco,6.68258363281711E+17,"@JudgeJeanine sorry Judge when I saw that blimp Coco had to switch to NYR game...she's a blown-up Hillary..makes me physically ill..Tums pls",FALSE,0
coco,6.67534309843182E+17,"???? ""If you're sad add MORE LIPSTICK AND ATTACK"" ~ Coco Chanel #holidaywindows #surreal… https://t.co/MEnDhIbEC1",TRUE,0
coco,6.68472154724303E+17,"Whilst getting dressed last night I decided to let Chilli CoCo choose my outfit. I think she wants… https://t.co/nLWBR8UX3S",TRUE,0
evelyn,6.69605272176955E+17,"This is my (routine) appointment -- not Amy's (@ Evelyn H. Lauder Breast Center in New York NY) https://t.co/DVWQeTZ2jB",TRUE,0
evelyn,6.68303310315635E+17,"#thingswefindonthefloor @ Evelyn https://t.co/IfTMqSiRDM",TRUE,0
evelyn,6.68119350126203E+17,"Ecce Homo by Evelyn Bencicova https://t.co/9keAIXRsGD from @ignantmag #photography https://t.co/hf4idBICTN",FALSE,0
evelyn,6.70292223100117E+17,"I love when @Ericuhh_xo sends me videos of Evelyn ??",FALSE,0
evelyn,6.67717414545727E+17,"Today in #Herstory: In 1916 Evelyn Keyes born. She is best known for her role as Suellen O'Hara in the 1939 film Gone with the Wind.",FALSE,0
wichcraft,6.67816389126722E+17,"Okay I just need to move to New York. Even the shops have adorable puny names. I can't handle it #wichcraft #puns https://t.co/JpAuX3Dhgv",FALSE,0
"the living room",6.69331868010086E+17,"My dad literally just texted me to come to the living room to pass him the remote",FALSE,0
"the living room",6.68282673425576E+17,"Great sounds from @thestraybirds tonight at the Living Room! @ The Living Room https://t.co/UlKYlqH3ZS",TRUE,1
"the living room",6.69602122753843E+17,"Jeremy doesnt know I'm in the living room and he's singing Adele in the kitchen",FALSE,0
"the living room",6.68892143017206E+17,"@marc_almond The living room goes quiet on Monday nights when they watch. Kinda scary TBH.",FALSE,0
"the living room",6.70081847490159E+17,"Forever passing out on the living room floor in food comas",FALSE,0
"the living room",6.67941E+22,"Regret deciding to sleep in the living room bc there's a fucking rat in this house!",FALSE,0
"the living room",6.67816746577822E+17,"if I had a TV in my room I would never watch TV in the living room what is this woman doing omfg",FALSE,0
"the living room",6.68449441247023E+17,"just woke up and now am going into the living room to sprawl on the couch and watch Netflix. #tgive2015",FALSE,0
"the living room",6.69938509290017E+17,"Thanksgiving is eating in the living room because football is on I love it",FALSE,0
"the living room",6.68160342514618E+17,"Oops wrong W (@ The Living Room At W Hotel in New York NY) https://t.co/0WqcSd7zJy",TRUE,1
"otto's shrunken head",6.68177486870548E+17,"Dried blowfish tiki lamp = amazing #nationaltreasure #tikibar #drinking52 @ Otto's Shrunken Head https://t.co/Qob7thV0BF",TRUE,1
"otto's shrunken head",6.67855807887892E+17,"Matt Langone and Danny Ray --- Gotham Rockets @ Otto's Shrunken Head https://t.co/9xIsRKKtGl",TRUE,1
"otto's shrunken head",6.69291877145911E+17,"TIKI @ Otto's Shrunken Head https://t.co/VSeS3SZsE1",TRUE,1
"seis vecinos restaurant",6.7014474531489E+17,"Tres Leches Cake at Seis Vecinos Restaurant #foodie #foodporn #bronx #restaurant #cake @ Seis Vecinos… https://t.co/QzByqZV2jx",TRUE,1
"seis vecinos restaurant",6.70140676286362E+17,"Sangria at Seis Vecinos in the Bronx #foodporn #restaurant #foodie @ Seis Vecinos Restaurant https://t.co/l5qM6k3o59",TRUE,1
"amber steak house",6.69704800087314E+17,"No Beef No Life #nobeefnolife #nymunchclub @ Amber Steak House https://t.co/xEqubHmxjk",TRUE,1
"the one",6.70033100861149E+17,"Im probably the one person who still hasnt eaten dinner https://t.co/yHqNZz2X1T",FALSE,0
"the one",6.67443714755838E+17,"tfw the one person u wanna text to make you feel better is the one person u can't ?",FALSE,0
"the one",6.68454966655386E+17,"I'm not the one to catch feelings for.",FALSE,0
"the one",6.6730972798285E+17,"Ironic you been sleeping on the one you dreaming about",FALSE,0
"the one",6.68640138730316E+17,"@Shareek_Nyy @Fabio227 i dont know man that trash can on the left has way nicer tits than the one on the right",FALSE,0
"the one",6.68892250349445E+17,"Hunger games the one in theaters was good AF!!",FALSE,0
"the one",6.69949530981319E+17,"Thankful and grateful for family- the one we're born into and the one we choose ??  #thanksgiving… https://t.co/sfKLvEN2oD",TRUE,0
"the one",6.70283130381722E+17,"OMG the one tree hill thanksgiving episode??",FALSE,0
"the one",6.69978494105952E+17,"@_Nadeann I was serious with the tweet. All I said was who is Jodi and the one named Rebecca?",FALSE,0
"the one",6.69922743236739E+17,"Gobble gobble that's right it's Thanksgiving again. And today's the one day a year you're supposed… https://t.co/KGr0ga5OgW",TRUE,0
"sant ambroeus",6.68276223655715E+17,"Portrait by Annie Leibovitz @ Sant Ambroeus SoHo https://t.co/fuIPik81yT",TRUE,0
"sant ambroeus",6.67802882784305E+17,"They say the cave is waiting: #timewarp #timewarp2015 #nyc @ Sant Ambroeus West Village https://t.co/aAi5SaZebG",TRUE,0
